20241203	14:00:15	cce6fec4-a370-465b-b7c5-071528bf4c13	POST 	 undefined	/auth
20241223	12:16:12	a7da5617-21d1-47c7-a476-880a4b6a0de6	POST 	 undefined	/register
20241223	12:18:55	9b93cb2d-20c7-4be3-9be8-0e6db16d762b	POST 	 undefined	/auth
20241223	12:20:48	9414fb6e-7c2f-482d-b21c-5bde42b35978	POST 	 undefined	/auth
20241223	12:21:39	1864f1ae-a89e-40af-b8f1-0ec5a9f0c0ce	GET 	 undefined	/employees
20241223	12:22:36	7f58e7cb-4689-4c68-979e-b07bf8773459	POST 	 undefined	/auth
20241223	12:22:48	0d88bdbc-7892-4859-882d-a236fb25c1fe	GET 	 undefined	/employees
20241223	12:25:00	4dc2e0c6-f4b6-4db0-9537-7733aee1ed78	POST 	 undefined	/auth
20241223	12:25:06	017a482f-2c1d-42b5-8fa1-df697750a847	POST 	 undefined	/auth
20241223	12:25:09	112d8d17-79bb-4c14-86f3-d079bbc150be	POST 	 undefined	/auth
20241223	12:25:39	73687cad-02b9-40ab-ad8a-87f1ba021574	POST 	 undefined	/auth
20241223	12:25:53	3b8f0bdb-51f0-4de5-b7ed-c04573cc3eb7	GET 	 undefined	/employees
20241223	12:42:38	63b6c9ae-a912-4881-8f6a-ae0de32242eb	POST 	 undefined	/auth
20241223	12:42:48	4e1f9b54-76f0-4f88-8484-f134208752ac	GET 	 undefined	/employees
20241223	13:36:00	ec4cc129-bfad-4aeb-8de0-998c663f26a7	GET 	 undefined	/employees
20241223	14:19:36	3e35930a-a2ef-4e78-88f8-1398b6a0fb58	POST 	 undefined	/auth
20241223	14:23:38	70e1fe3c-26a5-45d4-9589-e4c343078fee	GET 	 undefined	/refresh
20241223	14:26:03	b889ab19-9351-440f-b9ac-755f1d8ab297	GET 	 undefined	/refresh
20241223	14:26:05	c2fa0280-77ee-43de-ac15-402817fdc4f6	GET 	 undefined	/refresh
20241223	14:26:06	33e2aea7-e122-4f9e-84b8-5d46f61063a2	GET 	 undefined	/refresh
20241223	14:26:08	ca49c16b-167c-4111-a5e6-1feb1daa0800	GET 	 undefined	/refresh
20241223	14:26:09	0a6c4936-9494-4a90-a3f1-2347a811972c	GET 	 undefined	/refresh
20241223	16:00:42	1e0bca94-6b48-4271-9281-fa15f70b002a	GET 	 undefined	/logout
20241223	16:01:29	9174d46a-61f5-4c8e-9112-9035abe2f0c9	GET 	 undefined	/refresh
20241223	16:05:16	5d16bf43-b269-4384-9b22-676fa0c93790	GET 	 undefined	/refresh
20241223	16:05:19	01f41aa4-c0c7-424c-b825-48fb85978dc3	GET 	 undefined	/refresh
20241223	16:05:24	b44670d4-32de-4de4-bfe7-5d331f8b5abb	GET 	 undefined	/refresh
20241223	16:05:34	f3156e13-168b-4298-9357-965c95fabbf7	GET 	 undefined	/employees
20241224	20:45:10	add25ea6-d0df-4df5-802a-2a3a637420e9	GET 	 undefined	/
20241224	20:45:10	f7b37de2-7687-4ab2-afd6-22d589afbea6	GET 	 undefined	/css/style.css
20241225	12:24:12	6ed139e5-9a44-421f-9a85-366ee04d837b	POST 	 undefined	/auth
20241225	12:25:13	46c1e4f3-c811-4b7a-a13f-ed11b31bb44f	POST 	 undefined	/auth
20241225	12:27:05	2268037d-6102-49a2-90d7-795e44bce210	GET 	 undefined	/employees
20241225	12:27:09	fcca52e0-b9c9-4003-97a2-85b021d44cc3	POST 	 undefined	/auth
20241225	12:27:19	96e700b4-ca67-44d1-b0e2-58c3883047d9	GET 	 undefined	/employees
20241225	12:28:13	377b0d35-baa6-4854-9ee5-8217876d2df5	GET 	 undefined	/employees
20241225	12:29:09	9fad72bb-1337-4588-97c2-0746ebc9049a	POST 	 undefined	/employees
20241225	12:30:49	c40924e2-b0e1-45a7-ad1d-22037a4f472e	POST 	 undefined	/auth
20241225	12:30:58	569fc6c2-4610-4e1f-8418-7a285040dc14	GET 	 undefined	/employees
20241225	12:31:44	4a03c13a-fea8-4c82-91ee-9e52127bba5f	POST 	 undefined	/employees
20241225	12:33:14	1ff3fc30-d538-4bd4-82b5-0a5f8acd3b64	POST 	 undefined	/auth
20241225	12:33:32	98bf92a8-4dae-4a61-8ebc-3d77b2bb3f41	GET 	 undefined	/employees
20241225	12:33:39	43c50895-8949-4570-93e0-2e0c934ad250	POST 	 undefined	/employees
20241225	12:35:37	9959607d-f793-47e7-a369-38808a2442cf	POST 	 undefined	/auth
20241225	12:35:49	01baac48-adc8-4192-870e-fd39386358a1	GET 	 undefined	/employees
20241225	12:35:52	ee8c9ffe-7e5e-4ac6-8301-99a670e5e807	GET 	 undefined	/employees
20241225	12:36:08	0f6c8276-8c5c-46c0-b736-fbc37f3ca225	POST 	 undefined	/employees
20241225	12:36:12	b93eb545-4312-4d62-ae2f-6acbce85a1cb	POST 	 undefined	/employees
20241225	12:39:01	2304d85b-528e-4258-8259-ff3ce6e82b82	POST 	 undefined	/auth
20241225	12:39:11	3cf84fa9-55c0-4acb-a5d6-7f658575ab05	GET 	 undefined	/employees
20241225	12:39:17	d06c1e4c-30b7-4803-9cfa-600595ab1bdd	POST 	 undefined	/employees
20241225	12:41:40	bbe18091-cac2-4708-af80-4b881616e1fc	POST 	 undefined	/auth
20241225	12:41:51	cea92d79-73bd-484c-a03a-48eae963695c	GET 	 undefined	/employees
20241225	12:41:59	1e137376-1f78-41ed-a49c-dc9ed83d19ac	POST 	 undefined	/employees
20241225	12:42:44	7a8008a4-9063-4d33-ab90-464a9f3fb226	POST 	 undefined	/employees
20241225	12:42:53	d9856485-a445-448f-9ced-91144cbf71b0	POST 	 undefined	/auth
20241225	12:43:02	c8ee3a2b-09ab-4d9d-9fd3-c88c2d394156	GET 	 undefined	/employees
20241225	12:43:06	2446e265-7908-49af-a466-ef07cd20de4b	POST 	 undefined	/employees
20241225	12:43:25	e630bbf7-1681-481a-9cb9-4db5e4ac5536	DELETE 	 undefined	/employees
20241225	12:43:40	33cfa945-d0ae-4722-b1e1-2eccb2d2ef05	POST 	 undefined	/employees
20241225	12:43:41	de0cd227-6f33-4ae0-944c-dc2bf2e29a39	POST 	 undefined	/employees
20241225	12:43:56	65cbae9d-6968-499d-a56c-2002583a6d50	POST 	 undefined	/auth
20241225	12:44:23	9bb85fc4-8dc2-49ce-ab0b-574c05ccd776	POST 	 undefined	/employees
20241225	12:44:47	d1900a4f-d165-4151-ae38-247145632025	GET 	 undefined	/employees
20241225	12:44:58	90963376-2753-4662-98f4-05e0ecf9642a	GET 	 undefined	/employees
